# KaDE -l 6 --count Occurrences kappa/ode.4.12.3.red.ka --output kappa/ode.4.12.3.red --output-plot ../data/ode.4.12.3.red.data
# [T] A |A.x-x| 
5.740000 1.174221 2.412890 
5.750000 1.174221 2.412890 
5.760000 1.174221 2.412890 
5.770000 1.174221 2.412890 
5.780000 1.174221 2.412890 
5.790000 1.174221 2.412890 
5.800000 1.174221 2.412890 
5.810000 1.174221 2.412890 
5.820000 1.174221 2.412890 
5.830000 1.174221 2.412890 
5.840000 1.174221 2.412890 
5.850000 1.174221 2.412890 
5.860000 1.174221 2.412890 
5.870000 1.174221 2.412890 
5.880000 1.174221 2.412890 
5.890000 1.174221 2.412890 
5.900000 1.174221 2.412890 
5.910000 1.174221 2.412890 
5.920000 1.174221 2.412890 
5.930000 1.174221 2.412890 
5.940000 1.174221 2.412890 
5.950000 1.174221 2.412890 
5.960000 1.174221 2.412890 
5.970000 1.174221 2.412890 
5.980000 1.174221 2.412890 
5.990000 1.174221 2.412890 
6.000000 1.174221 2.412890 
